,language,affix,meaning
385,ing,löj,POS:nomin|NUMB:pl|
386,ing,n,POS:nomin|CASE:gen|
387,ing,a,POS:nomin|CASE:par|
388,ing,ä,POS:nomin|CASE:par|
389,ing,ta,POS:nomin|CASE:par|
390,ing,tä,POS:nomin|CASE:par|
391,ing,t,POS:nomin|CASE:par|
392,ing,ja,POS:nomin|CASE:par|
393,ing,jä,POS:nomin|CASE:par|
394,ing,ha,POS:nomin|CASE:ill|
395,ing,hä,POS:nomin|CASE:ill|
396,ing,ho,POS:nomin|CASE:ill|
397,ing,hö,POS:nomin|CASE:ill|
398,ing,he,POS:nomin|CASE:ill|
399,ing,hu,POS:nomin|CASE:ill|
400,ing,hy,POS:nomin|CASE:ill|
401,ing,see,POS:nomin|CASE:ill|
402,ing,sse,POS:nomin|CASE:ill|
403,ing,s,POS:nomin|CASE:ines|
404,ing,z,POS:nomin|CASE:ines|
405,ing,st,POS:nomin|CASE:elat|
406,ing,lle,POS:nomin|CASE:alla|
407,ing,l,POS:nomin|CASE:ades|
408,ing,lt,POS:nomin|CASE:abl|
409,ing,ks,POS:nomin|CASE:tran|
410,ing,n,POS:nomin|CASE:ess|
411,ing,n,POS:nomin|POSS|PERS:1|NUMB:sg|
412,ing,z,POS:nomin|POSS|PERS:2|NUMB:sg|
413,ing,n,POS:verb|PERS:1|NUMB:sg|
414,ing,t,POS:verb|PERS:2|NUMB:sg|
415,ing,p,POS:verb|PERS:3|NUMB:sg|
416,ing,aa,POS:verb|PERS:3|NUMB:sg|
417,ing,ää,POS:verb|PERS:3|NUMB:sg|
418,ing,ii,POS:verb|PERS:3|NUMB:sg|
419,ing,oo,POS:verb|PERS:3|NUMB:sg|
420,ing,öö,POS:verb|PERS:3|NUMB:sg|
421,ing,uu,POS:verb|PERS:3|NUMB:sg|
422,ing,yy,POS:verb|PERS:3|NUMB:sg|
423,ing,oi,POS:verb|PERS:3|NUMB:sg|
424,ing,öi,POS:verb|PERS:3|NUMB:sg|
425,ing,mma,POS:verb|PERS:1|NUMB:pl|
426,ing,mmä,POS:verb|PERS:1|NUMB:pl|
427,ing,tta,POS:verb|PERS:2|NUMB:pl|
428,ing,ttä,POS:verb|PERS:2|NUMB:pl|
429,ing,aa,POS:verb|PERS:3|NUMB:pl|
430,ing,ää,POS:verb|PERS:3|NUMB:pl|
431,ing,taa,POS:verb|PERS:3|NUMB:pl|
432,ing,tää,POS:verb|PERS:3|NUMB:pl|
433,ing,nt,POS:part|VOICE:act|TENSE:past|
434,ing,t,POS:part|VOICE:act|TENSE:past|
435,ing,tu,POS:part|VOICE:pass|TENSE:past|
436,ing,ty,POS:part|VOICE:pass|TENSE:past|
437,ing,ttu,POS:part|VOICE:pass|TENSE:past|
438,ing,tty,POS:part|VOICE:pass|TENSE:past|
439,ing,i,POS:verb|TENSE:past|
440,ing,izi,POS:verb|MOOD:cond|
441,ing,is,POS:verb|MOOD:cond|
442,ing,isizi,POS:verb|MOOD:cond|
443,ing,isiis,POS:verb|MOOD:cond|
444,ing,jaizi,POS:verb|MOOD:cond|
445,ing,aizi,POS:verb|MOOD:cond|
446,ing,jais,POS:verb|MOOD:cond|
447,ing,ais,POS:verb|MOOD:cond|
448,ing,jäizi,POS:verb|MOOD:cond|
449,ing,äizi,POS:verb|MOOD:cond|
450,ing,jäis,POS:verb|MOOD:cond|
451,ing,äis,POS:verb|MOOD:cond|
452,ing,kaa,POS:verb|MOOD:imp|PERS:3|NUMB:sg|
453,ing,kää,POS:verb|MOOD:imp|PERS:3|NUMB:sg|
454,ing,kaa,POS:verb|MOOD:imp|PERS:2|NUMB:pl|
455,ing,kää,POS:verb|MOOD:imp|PERS:2|NUMB:pl|
456,ing,takaa,POS:verb|MOOD:imp|PERS:3|NUMB:pl|
457,ing,takää,POS:verb|MOOD:imp|PERS:3|NUMB:pl|
458,ing,aa,POS:verb|VOICE:pass|MOOD:ind|TENSE:pres|
459,ing,ää,POS:verb|VOICE:pass|MOOD:ind|TENSE:pres|
460,ing,taa,POS:verb|VOICE:pass|MOOD:ind|TENSE:pres|
461,ing,tää,POS:verb|VOICE:pass|MOOD:ind|TENSE:pres|
462,ing,tii,POS:verb|VOICE:pass|MOOD:ind|TENSE:past|
